event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:ITOB7WMOIG,16,General Teaching,23,2,Tuesday,11,,
E:UI5JC9VU4Z,16,General Teaching,43,3,Friday,9,,
E:ZUYUKYXYST,"26, 27",General Teaching,25,2,Wednesday,13,,
E:5FJN19H8BP-00001,16,General Teaching,35,3,Thursday,10,,
E:AP9UXGBS5M-00005,"5, 6",General Teaching,30,2,Monday,9,,
E:C13SPQIGIF,"14, 15",General Teaching,75,1,Friday,13,,
E:TH7KZR2178,16,Computer Laboratory,15,3,Monday,9,,
E:IRPTFKB96J,16,General Teaching,11,2,Thursday,13,,
E:M1SCMLUHRC-00001,16,General Teaching,11,2,Friday,10,,
E:RAH6TVCK6Z,16,General Teaching,10,2,Tuesday,9,,
E:7T228VUIHY-00002,"9, 10",No room required,150,2,Monday,9,,
E:75HDLONQ3N-00001,"15, 16",General Teaching,22,1,Monday,11,,
E:NRS2WOZMDS,"26, 27",General Teaching,25,2,Friday,10,,
E:UF39G2U31Z,16,General Teaching,11,2,Monday,10,,
E:ZDSAMW586Y,16,General Teaching,80,1,Tuesday,10,,
E:EP1PGCCPEQ,16,General Teaching,11,2,Friday,12,,
E:48LWKAALP1,"26, 27",General Teaching,25,3,Thursday,12,,
E:IFX4JB5XXG_2,37,General Teaching,35,5,Monday,9,,
E:G2EYY9K3DQ,"6, 9",General Teaching,25,3,Friday,11,,
E:FXNB59WACH,"26, 27",General Teaching,15,1,Monday,17,,
E:532CN75HYA-00001,16,General Teaching,14,1,Wednesday,17,,
E:JBOYIQYBST,"9, 10",General Teaching,25,2,Thursday,12,,
E:HWAB3DLMBY,"9, 10",General Teaching,20,1,Monday,10,,
E:K9D4XRLUQ9,16,General Teaching,350,1,Thursday,17,,
E:6Z4SIB5LWT-00003,"16, 17",No room required,120,8,Monday,9,,
E:S9UTJ9ZQZN,"27, 28",Gym,28,2,Friday,14,,
E:E41Y1UNG7J,16,No room required,4,2,Monday,9,,
E:QHAPIY3W5C,"26, 27",General Teaching,30,2,Thursday,11,,
E:2VD8SM9MAC,16,General Teaching,100,2,Wednesday,15,,
E:NYR67NCIZJ,16,No room required,4,2,Monday,9,,
E:58QHY9W93L-00003,16,General Teaching,70,2,Monday,13,,
E:WOKBJ9UHOO,"26, 27",General Teaching,30,2,Thursday,11,,
E:1JBWPMWTNS-00001,16,Computer Laboratory,72,3,Monday,9,,
E:RFQQF668W1,16,Laboratory,12,3,Wednesday,15,,
E:DYQDRX3NZS,16,Laboratory,4,3,Friday,9,,
E:L95YH4FN3I-00020,"30, 32",No room required,10,1,Monday,9,,
E:CSKW3W1A4A,16,Laboratory,12,1,Thursday,17,,
E:C3XRWMVYA9,16,Laboratory,4,3,Monday,14,,
E:RJ4IQKZWJQ,16,Laboratory,12,1,Tuesday,17,,
E:WQAHG6JFDA,16,Laboratory,12,1,Wednesday,15,,
E:N3Y6DLEJSN,16,Laboratory,12,1,Wednesday,16,,
E:NHRNPVZUXW,16,Laboratory,12,1,Tuesday,12,,
E:VK53S8Y6EW,16,Laboratory,12,3,Friday,14,,
E:GJLYOWMF7T,"26, 27",General Teaching,20,2,Thursday,11,,
E:64Z3LNMDY5-00003,"26, 27",General Teaching,100,1,Friday,11,,
E:3UGYMMRS1H,16,General Teaching,25,2,Monday,16,,
E:O6WY5XP8JZ,16,Laboratory,12,1,Friday,13,,
E:4FZD1O2SY9,16,Laboratory,12,1,Thursday,12,,
E:WUQTMZG88N,16,Laboratory,12,1,Monday,12,,
E:8O8VPXNBRZ,16,Laboratory,12,1,Monday,17,,
E:JPOH95GJOT,"27, 28",Gym,28,2,Wednesday,14,,
E:WECTWITTLM,"26, 27",General Teaching,25,2,Thursday,11,,
E:AHHZ8MTP6K,16,Laboratory,24,3,Monday,14,,
E:VZQFWTAICV,16,Laboratory,24,3,Monday,12,,
E:FS66FQ8QRE-00001,16,General Teaching,25,2,Thursday,9,,
E:FH9Q4Q8QDG,16,General Teaching,70,3,Tuesday,9,,
